city,latitude,longitude
NORTH AVON,42.93006,-77.67778
NEWTON CEMETERY,42.96951,-76.94052
FIRST CONGREGATIONAL CHURCH OF CHAPPAQUA,41.16537,-73.76097
CLOCKVILLE,43.04173,-75.74463
BRANTINGHAM LAKE,43.69535,-75.27438
BEVERLY DOCK,41.36259,-73.96542
BEAVER MEADOWS,44.9942,-73.62987
CHENEY POND,43.87767,-74.16232
BUDDS POND,41.07454,-72.4037
BROADWAY STATION,40.76205,-73.80208
BROWN CEMETERY,42.95035,-74.98627
CENTRE ISLAND REEF,40.9176,-73.52707
CAMILLUS,43.03923,-76.3041
CANARSIE POL,40.62094,-73.87125
FEEDER POND,44.08175,-73.60976
DOGTOWN,42.84174,-75.08238
CORBIN HILL SCHOOL (HISTORICAL),42.78869,-74.41625
CLYDE,43.08423,-76.8694
COLD SPRING,43.31758,-74.78247
DEERFLY POND,44.69156,-74.10791
COTTER SWAMP,43.47257,-74.17125
DAYS PARK,42.89895,-78.88087
FARGO,42.92645,-78.43641
DUTCHER POND,43.29166,-75.9565
JOHN W DRAPER MEMORIAL PARK,40.99176,-73.87958
DUNRAVEN,42.13425,-74.6971
FALL BROOK FALLS,42.77478,-77.82861
EAST WILSON,43.24117,-78.7592
EVANS POND,43.37089,-75.14186
NEW YORK CITY HALL,40.7126,-74.00597
LENOX,43.0584,-75.70435
HELMS POND,43.87857,-74.48205
GARRISON MANOR,42.91813,-73.90818
TOWN OF FREEDOM,42.47827,-78.37711
FRESH POND LANDING,40.9651,-72.77204
HEDGEHOG MOUNTAIN,44.15949,-73.81097
GLENMORE,43.35896,-75.61852
HALLS CORNER,42.74034,-78.19723
LAMPSONS FALLS,44.40562,-75.07131
JACKSON POND,42.62548,-75.4343
HUMBOLDT PARK,42.90506,-78.83976
INDIAN ROCK,41.83287,-73.95597
KNICKERBOCKER CORNER,42.96201,-77.09608
KALURAH,44.16006,-75.2102
KINGDOM HALL,42.78034,-78.64364
MURPHY SHOAL,44.88616,-75.17438
MCINTYRE,41.88981,-73.69818
LOST POND,42.75782,-75.39346
LITTLE CROW MOUNTAIN,44.26505,-73.74792
LOFTUS HALL,40.92427,-73.78791
MAXON FIELD AIRPORT,43.17954,-78.04023
LUMMISVILLE,43.24507,-76.90635
MARYCREST,41.33648,-74.20904
MUDGE SCHOOL,42.53257,-75.93159
MILHOLLAND PARK,44.27227,-73.55874
MILL CREEK,43.78229,-75.45046
MOON HILL,42.7648,-73.329
MILL'S BRIDGE,41.32871,-73.59874
MINK ISLAND,44.41617,-75.79746
WDWN-FM (AUBURN),42.94451,-76.54216
SALTVALE,42.78395,-78.10973
PLUMBROOK,44.83561,-74.90686
NORTH BAY,44.42175,-74.29792
NORTH BRANCH GRASS RIVER,44.42451,-75.10742
PINE MOUNTAIN,43.38812,-74.18263
PALMERTOWN RANGE,43.2173,-73.76429
PENNELLVILLE,43.28257,-76.27049
SAINT VENCENT DE PAUL CAMP,42.65534,-79.06087
SAINT JOSEPHS SCHOOL,40.71538,-73.7393
REMSEN,43.32701,-75.18683
RUSH,42.9959,-77.64556
SAINT REMY,41.88259,-74.02125
SAINT MARYS CEMETERY,42.7884,-77.80972
SAINT MARYS PARK,42.66647,-73.78373
VENICE CENTER,42.73924,-76.55661
SOUTH BERNE,42.55841,-74.10013
SCHOOL NUMBER 17 (HISTORICAL),42.99451,-77.04525
SAND HILL CEMETERY,42.85979,-77.07275
SCHOOL NUMBER 1 (HISTORICAL),42.55314,-73.76957
SLATE HILL,41.39093,-74.47655
SEVENTH LAKE,43.88229,-74.22043
SHOOKTOWN,43.1595,-78.66309
UPPER MOUTH,44.56671,-73.42319
SPRAGUEVILLE,44.25895,-75.53633
SOUTH BRISTOL,42.72979,-77.39915
SOUTH GROVE ELEMENTARY SCHOOL,40.8,-73.50861
SCHOOL OF THE GOOD SHEPHERD,43.05516,-77.61286
SUGARLOAF,43.83284,-74.82212
SUNSET VIEW,43.24451,-76.94135
WHITEHOUSE CROSSING,42.02593,-73.51984
WWKB-AM (BUFFALO),42.7695,-78.84253
WNYK-FM (NYACK),41.08315,-73.92875
WPIG-FM (OLEAN),42.03562,-78.44613
WAYLAND,42.56784,-77.58971
WATERBORO,42.172,-79.06976
WATERVLIET,42.73008,-73.70123
YALEVILLE,42.36008,-75.49851
WOODFORD,42.25842,-75.16573
WURTSBORO HILLS,41.60259,-74.49266
VIENNA,43.23951,-75.70241
SCHOOL NUMBER 10 (HISTORICAL),42.4448,-75.0485
SISCOWIT RESERVOIR,41.19761,-73.52873
GREENWOOD LAKE,41.18527,-74.32204
POTAKE POND,41.13654,-74.2132
RARITAN BAY,40.52142,-74.09256
111 WALL STREET HELIPORT,40.70427,-74.00736
FAIRGRAVES JUNIOR HIGH SCHOOL,43.32396,-76.41188
A A LOW BUILDING SOUTH STREET SEAPORT MUSEUM,40.70621,-74.00375
A C ROCHESTER ENGINEERING CENTER HELIPORT,42.04451,-77.6536
A E LEE MEMORIAL HOSPITAL (HISTORICAL),43.31562,-76.40744
A L EHRMANN PARK AND RECREATION CENTER,41.14093,-73.70708
AURELIA OXBORN FOX MEMORIAL HOSPITAL,42.45787,-75.05248
AMCH HELIPORT,42.65175,-73.77429
ABATE SCHOOL,43.10283,-79.04977
ABBEY CEMETERY,42.43145,-79.19782
ABBEY GULF,42.81062,-77.50694
ABBOTS SWAMP,44.24756,-75.44466
ABBOTT ROAD PLAZA SHOPPING CENTER,42.83089,-78.80198
ABBOTT SCHOOL,41.04371,-73.85875
ABBOTTS,42.25701,-78.31863
ABBY ALDRICH ROCKEFELLER HALL,40.76343,-73.95542
ABE LORD CREEK,41.87037,-75.20323
ABBEY LANE SCHOOL,40.71788,-73.5154
ABE WOOD BROOK,41.93259,-74.91989
ABEEL ISLAND,42.95313,-74.62875
ABENDROTH PARK,40.99593,-73.67652
ABER BROOK,43.95339,-73.81319
ABELL CORNERS,42.8984,-75.82825
ABETS CREEK,40.74788,-72.97705
ABES HILL,43.82839,-73.53762
ABIJAH CREEK,43.77701,-75.92714
ABNER BROOK,43.2534,-74.3418
ABRAHAM LINCOLN HIGH SCHOOL,40.58233,-73.96787
ABRAMS LANDING,40.9926,-72.10563
ACABONACK CLIFF,41.0151,-72.12758
ACABONACK HARBOR,41.02816,-72.14119
ACACIA CEMETERY,40.67788,-73.85347
ACACIA PARK CEMETERY,43.05728,-78.81226
ACADEMY,42.75784,-77.36221
ACADEMY CEMETERY,42.77007,-77.33887
CHRISTIAN CENTRAL ACADEMY,42.9657,-78.73639
ACADEMY STREET SCHOOL,42.94313,-74.19013
ACADEMY STREET ELEMENTARY SCHOOL,40.74028,-73.05944
ACADEMY AND CENTRAL SCHOOL,43.57118,-76.1352
VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY,40.7676,-73.88264
ACADEMY OF MUSIC (HISTORICAL),40.73399,-73.98847
ACADEMY OF SAINT DOROTHY,40.59733,-74.08653
ACADEMY OF SAINT JOSEPH (HISTORICAL),40.77288,-73.24067
DOANE STUART SCHOOL,42.62786,-73.77234
ACADIA CAMP,41.95564,-74.77766
ACCOMPSETT ELEMENTARY SCHOOL,40.86278,-73.23778
ACCORD,41.78565,-74.22904
ACCORD CEMETERY,41.78426,-74.22431
ACCORD SPEEDWAY,41.82898,-74.22015
ACHIBALD CEMETERY,42.21953,-74.67321
ACIDALIA,41.89953,-75.03322
ACKER POND,42.28078,-73.59911
ACKERMAN CEMETERY,41.25871,-73.8518
ACKLES BROOK,42.37589,-79.24754
ABRAHAM LINCOLN SCHOOL,40.75149,-73.33901
ACORN HILL CHURCH,41.90731,-74.24042
ACRA,42.31092,-74.05541
ACRA POINT,42.29647,-74.09986
ACRE CREEK,42.10174,-75.84853
ACORN HILL,42.03037,-74.1732
MOUNT ADAM,41.30426,-74.42654
ADAMS,43.80923,-76.02409
ADAMS BASIN,43.19756,-77.8539
ADAMS CEMETERY,43.12868,-76.44077
ADAMS CEMETERY,42.70674,-74.97571
ADAMS CENTER,43.86006,-76.00548
ADAMS CORNER,42.42674,-75.72825
ADAMS CORNERS,41.35343,-73.83958
ADAMS COVE,44.00645,-76.15854
ADAMS HOSPITAL,42.44867,-78.99893
ADAMS ISLAND,42.74313,-73.68706
ADAMS POINT,42.80479,-76.49188
ADAMS RECREATION FIELD,43.98839,-75.89992
ADAMS RESERVOIR,43.82618,-76.03076
ADAMS STREET CEMETERY,42.26535,-75.91798
ADAMS SWAMP,43.83368,-76.0577
MOUNT ADAMS,44.08672,-74.0257
TOWN OF ADAMS,43.85099,-76.03788
ADAMSVILLE,43.32091,-73.47317
ADAMSVILLE CEMETERY,43.33257,-73.47372
ADATH CEMETERY,44.93394,-74.90242
ADDAMS SCHOOL,42.97034,-78.84615
JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,40.82177,-73.90291
ADDISON,42.10285,-77.23359
ADDISON HILL,42.02063,-77.31915
ADDISON MILLER PARK,43.09451,-75.26211
TOWN OF ADDISON,42.1372,-77.24047
ADELPHI,40.68094,-73.96458
HIGGINS HALL,40.68816,-73.96486
ADELPHI UNIVERSITY,40.72232,-73.65235
ADEN,41.86065,-74.67321
ADEN BROOK,41.8487,-74.67127
ACRES SCHOOL,44.49284,-75.24965
ADIRONDACK BIBLE COLLEGE,43.19424,-74.04707
ADIRONDACK COMMUNITY COLLEGE,43.35174,-73.65539
ADIRONDACK COMMUNITY COLLEGE,43.28896,-73.58734
ADIRONDACK EDUCATIONAL CENTER,44.35144,-74.11543
ADIRONDACK FISH HATCHERY,44.35395,-74.28655
ADIRONDACK LAKE,43.78927,-74.2601
ADIRONDACK MOUNTAINS,44.00034,-74.49989
ADIRONDACK NATURAL STONE BRIDGE,43.74701,-73.85319
ADIRONDACK REGIONAL AIRPORT,44.38025,-74.20483
ADIRONDACK STATE PARK,43.09563,-74.56875
ADIRONDACK STATE PARK,44.06089,-74.18738
ADJIDAUMO FLOW,43.99328,-74.22613
ADOLPHS POND,41.38599,-73.98523
ADRIA HILL,41.33148,-74.14209
ADRIAN,42.25452,-77.52082
ADVANCEMENT HOUSE,40.92899,-73.78624
ADVENT CHURCH,43.31478,-78.71642
ADVENT TULLER SCHOOL,40.76704,-73.58402
ADVENTIST HOME,42.13953,-73.78541
AERO MARINA,43.20896,-76.08048
AFFOLTER GULLY,42.75229,-77.51888
ADIRONDACK,43.76395,-73.75846
AFTON,42.22814,-75.52657
AFTON LAKE,42.23925,-75.51048
TOWN OF AFTON,42.22755,-75.52412
AG-TECH LAKE,42.26695,-77.81925
AGASSIZ BAY,44.16794,-74.3807
AGAWAM PARK,40.88232,-72.39231
AGAWAMUCK CREEK,42.25287,-73.66512
AFRICAN BURIAL GROUND NATIONAL MONUMENT,40.71455,-74.00433
AGFA LAKE,42.10405,-75.73931
AGNES CORNERS,43.1759,-75.60629
AGNES ISLAND,43.65756,-73.49873
AGOR RIDGE,41.35759,-73.75263
AGUDAS ACHIM CEMETERY,41.88342,-74.80461
AGUDAT ACHIM CEMETERY,40.93565,-73.12178
AGUDATH ACHIM CEMETERY,41.3887,-74.6835
AGWATERRA POND,42.03285,-75.94278
AHAWITH CHESED CEMETERY,40.71232,-73.91375
AHRENS BUILDING,40.71705,-74.00208
AIDEN LAIR,43.87173,-74.00264
AIELLO PARK,40.9026,-73.77402
AINGER HILL,44.22172,-73.41124
AINGER HILL SCHOOL,44.22116,-73.40679
AINSWORTH BROOK,41.99562,-77.81722
AGAWAN LAKE,40.87444,-72.39222
AIR SHAFT NUMBER 3,41.99398,-75.00655
AIRBORNE SPEEDWAY,44.63449,-73.49875
AIRDWOOD LAKE,43.44416,-74.45229
AIRHAVEN AIRPORT,41.83388,-73.87603
AIRLANE ENTERPRISES AIRPORT,43.20298,-76.17602
AIRMONT,41.10093,-74.11625
AIRMONT SCHOOL,41.11204,-74.1132
AIRPORT POND,41.06419,-72.09638
AIRPORT SCHOOL (HISTORICAL),42.73924,-73.78762
AIRTREK AIRPORT,42.84752,-76.85168
MOUNT AIRY,42.11259,-73.98291
AIRY-ACRES AIRPORT,42.64368,-76.72878
AKINS CORNERS,41.51482,-73.59124
AKRON,43.02089,-78.4953
AKRON AIRPORT,43.02239,-78.48331
AKRON JUNCTION,43.00478,-78.53447
AKRON RESERVOIR,42.86728,-78.36224
AL FISHER BROOK,41.99592,-75.26517
AIR HAVEN CAMP,41.83287,-73.87541
ALABAMA CEMETERY,43.10311,-78.39224
TOWN OF ALABAMA,43.08565,-78.37747
ALAN TREMAN STATE MARINE PARK,42.45952,-76.51633
ALBANY,42.65258,-73.75623
ALBANY ACADEMY FOR BOYS,42.64591,-73.78734
ALBANY ACADEMY FOR GIRLS,42.645,-73.78361
ALBANY AVENUE SCHOOL,40.70704,-73.45818
ALBANY AVENUE ELEMENTARY SCHOOL,40.68694,-73.38528
ALBANY BUSH SCHOOL,42.98868,-74.32708
ALBANY COUNTRY CLUB,42.68119,-73.82512
ALBANY COUNTY,42.60018,-73.97356
ALBANY COUNTY AIRPORT,42.74813,-73.80234
ALBANY FILTRATION PLANT,42.55091,-73.86901
ALBANY HIGH SCHOOL,42.66667,-73.7825
ALBANY HOSPITAL FOR INCURABLES (HISTORICAL),42.63397,-73.76818
ALBANY MEMORIAL HOSPITAL,42.67376,-73.74849
ALBANY MOUNTAIN,43.92867,-74.79545
CAPITAL HILLS AT ALBANY,42.64768,-73.82591
ALBANY ROCK,40.97149,-72.81455
ALBANY RURAL CEMETERY,42.70563,-73.7354
CITY OF ALBANY,42.6664,-73.79868
ALBERT ISLAND,44.14951,-74.80768
ALBERT LEONARD MIDDLE SCHOOL,40.94788,-73.78041
ALBERT MARSH,44.45006,-74.92519
ALBERT MARSH HILL,44.44117,-74.93436
ALBERTS LANDING,41.00343,-72.11952
ALBERTSON,40.77343,-73.64318
ALBERTSON PARK,40.76455,-73.65013
ALBERTUS MAGNUS HIGH SCHOOL,41.11954,-73.99125
ALBIA,42.70341,-73.65178
ALBIA POND,43.18749,-74.02458
ALBION,43.24645,-78.19363
ALBION CENTER,43.48868,-76.04159
ALBION RESERVOIR NUMBER ONE,43.25275,-78.24309
ALBION RESERVOIR NUMBER TWO,43.22504,-78.25108
ALBION WATER TREATMENT PLANT,43.37034,-78.21474
TOWN OF ALBION,43.23227,-78.20812
TOWN OF ALBION,43.49463,-76.03147
ALBRIGHT CREEK,42.66201,-76.09993
ALABAMA,43.09645,-78.39086
ALBURG BROOK,44.78922,-74.57212
ALCOA PARK,44.93894,-74.88714
ALCOTTS POND,40.83684,-72.58919
ALCOVE,42.46869,-73.92568
ALCOVE CEMETERY,42.46814,-73.92846
ALCOVE RESERVOIR,42.49648,-73.94835
ALDEN,42.90006,-78.49197
ALDEN CENTER,42.91117,-78.52336
ALDEN CHRISTIAN SCHOOL,42.88756,-78.55169
ALDEN MANOR,40.69427,-73.71763
ALDEN STATION,42.92228,-78.49419
ALDEN TERRACE ELEMENTARY SCHOOL,40.68333,-73.71611
ALDEN TOWN CEMETERY,42.90728,-78.52169
ALDEN UNION CEMETERY,42.91728,-78.46391
TOWN OF ALDEN,42.91142,-78.52107
ALDER BED FLOW,44.02701,-75.03713
ALDER BED MOUNTAIN,44.02368,-75.05324
ALDER BED POND,43.65977,-75.78261
ALDER BEND,44.84809,-73.72098
ALDER BOTTOM CREEK,42.10728,-79.62588
ALBURG,44.77728,-74.58157
ALDER BROOK,44.2381,-73.96737
ALDER BROOK,43.75562,-73.87958
ALDER BROOK,44.63117,-74.4485
ALDER BROOK,44.57643,-73.93265
ALDER BROOK,44.92866,-74.23157
ALDER BROOK,44.51338,-73.94348
ALDER BROOK,44.61866,-74.26294
ALDER BROOK,43.40146,-74.69515
ALDER BROOK,42.55897,-73.51456
ALDER BROOK,44.38951,-75.0227
ALDER BROOK,44.50284,-74.58462
ALDER BROOK,44.51951,-74.4935
ALDER BROOK,43.60451,-73.7279
ALDER BROOK LAKE,43.36408,-74.65601
ALDER BROOK VLY,43.3984,-74.67154
ALDER CREEK,43.85339,-73.73513
ALDER BROOK MOUNTAINS,44.5406,-73.91681
ALDER CREEK,43.95478,-74.83351
ALDER CREEK,43.52757,-75.55018
ALDER CREEK,44.0134,-75.40936
ALDER CREEK,43.88285,-75.16074
ALDER CREEK,43.4234,-75.22795
ALDER CREEK,43.43868,-75.206
ALDER CREEK,43.58535,-76.15631
ALDER CREEK,43.08007,-74.09041
ALDER CREEK,42.02537,-74.70905
ALDER CREEK STATION,43.42285,-75.24517
ALDER LAKE,42.04918,-74.67632
ALDER MEADOW BROOK,42.68118,-75.72491
ALDER ISLAND,40.59844,-73.57874
ALDER MEADOW BROOK,44.62812,-74.83658
ALDER POND,43.84998,-73.67144
ALDOUS BROOK,43.75118,-74.05875
ALDER POND,43.43896,-75.20961
ALDRICH CEMETERY,42.20174,-77.31554
ALDRICH HILL,42.34923,-79.1106
ALDRICH SCHOOL (HISTORICAL),42.20563,-77.31331
ALEC LA MOUNTAIN MOUNTAIN,44.44977,-73.53847
ALECK MEADOW RESERVOIR,41.40534,-74.01487
ALENE,43.01229,-75.73685
ALEWIFE BROOK,41.03482,-72.23897
ALDRICH,44.14867,-75.11131
ALEWIFE POND,41.03232,-72.22996
ALEXANDER,42.90117,-78.25668
ALEXANDER AVENUE BAPTIST CHURCH (HISTORICAL),40.81177,-73.92319
ALEXANDER CEMETERY,42.89895,-78.24863
ALEXANDER CORNERS,43.82118,-76.20215
ALEXANDER FARM AIRPORT,42.57993,-73.61612
ALEXANDER HAMILTON CUSTOM HOUSE,40.70371,-74.01375
ALEXANDER HAMILTON HIGH SCHOOL,41.04954,-73.81708
ALEXANDER HAMILTON SCHOOL,43.15701,-77.585
ALEXANDER HILL CEMETERY,42.0848,-75.54296
ALEXANDER LAKE,42.22946,-76.20169
ALEXANDER POND,43.71811,-75.56146
ALEXANDER SCHOOL,42.91284,-78.7917
TOWN OF ALEXANDER,42.91368,-78.25019
ALEXANDERS BROOKLYN HELIPORT,40.60733,-73.91569
ALEXANDERS-ROOSEVELT HELIPORT,40.73343,-75.62408
ALEXANDRIA BAY,44.33588,-75.91773
ALEXANDRIA CENTER,44.30755,-75.87606
TOWN OF ALEXANDRIA,44.31466,-75.87535
ALFORD MOUNTAIN,44.23033,-74.11738
ALFORD POND,44.26151,-74.03664
ALFRED,42.25424,-77.79055
ALFRED E SMITH HIGH SCHOOL,40.81858,-73.91961
ALFRED E SMITH RECREATION CENTER,40.71,-73.9975
ALFRED RURAL CEMETERY,42.26785,-77.77888
ALFRED STATION,42.26979,-77.75916
ALFRED UNIVERSITY,42.25618,-77.78805
TOWN OF ALFRED,42.23857,-77.78909
ALFRED-ALMOND CENTRAL SCHOOL,42.29479,-77.75027
ALGER CEMETERY,42.51923,-78.14362
ALGER CEMETERY,42.75701,-77.68194
ALGERINE HILL,42.64952,-74.66515
ALGONQUIN PARK,41.52259,-74.05764
ALGONQUIN PEAK,44.14366,-73.98654
ALICE,42.0209,-77.61388
ALICE BROOK,44.14645,-75.02075
ALEWIFE BROOK LANDING,41.03232,-72.23952
ALICE FALLS,44.51894,-73.4643
ALICE HYDE MEDICAL CENTER,44.85667,-74.29139
ALICE TULLY HALL,40.77371,-73.98236
LAKE ALICE,44.86842,-73.48529
LAKE ALICE,41.34245,-73.93205
ALL FAITHS CHAPEL,42.70202,-75.20711
ALL HALLOWS SCHOOL,40.83038,-73.92153
ALL SAINTS CEMETERY,42.1473,-75.95298
ALL SAINTS CEMETERY,40.81149,-73.73458
ALL SAINTS CHAPEL,42.50924,-75.28795
ALL SAINTS CHURCH,40.97149,-73.71319
ALL SAINTS EPISCOPAL CHURCH,41.1476,-73.84652
ALL SAINTS HIGH SCHOOL,40.70121,-73.94458
ALL SAINTS SCHOOL,42.95784,-78.90337
ALL SOULS CEMETERY,41.12898,-73.78763
ALL SOULS CHAPEL,41.85037,-74.77266
ALL SOULS CHAPEL,41.87703,-74.87238
ALL SOULS EPISCOPAL CHURCH,40.91565,-73.14678
ALLABEN,42.11676,-74.37043
ALLAN OTTY SHOAL,44.06672,-76.45523
ALLARD CEMETERY,42.79979,-75.77352
ALLARD CORNERS,41.58565,-74.22126
ALLARD HILL,43.79367,-73.81041
ALLEGANY,42.09006,-78.49419
ALLEGANY BROOK,44.5431,-73.78403
ALICE E GRADY ELEMENTARY SCHOOL,41.04954,-73.81819
ALLEGANY COUNTY,42.25739,-78.02756
ALLEGANY INDIAN RESERVATION,42.1584,-78.74975
ALLEGANY RESERVATION,42.09204,-78.87485
ALLEGANY STATE PARK,42.0534,-78.80948
TOWN OF ALLEGANY,42.087,-78.52117
ALLEGHENY AVENUE ELEMENTARY SCHOOL,40.68583,-73.36639
ALLEN AFRICAN METHODIST EPISCOPAL CHURCH,41.02788,-73.77208
ALLEN BROOK,42.23173,-79.04615
ALLEGANY CEMETERY,42.09673,-78.49169
ALLEN BROOK,44.07394,-73.95737
ALLEN BROOK,44.96504,-74.13351
ALLEN BROOK,42.18842,-74.1482
ALLEN BROOK,44.33423,-75.02631
ALLEN BROOK,44.81255,-74.7313
ALLEN CEMETERY,42.36257,-78.05028
ALLEN CEMETERY,42.75645,-77.4061
ALLEN CEMETERY,43.2959,-76.18604
ALLEN CENTER,42.38618,-78.01528
ALLEN CORNERS,41.47065,-73.74874
ALLEN CORNERS,44.79561,-75.03631
ALLEN CREEK,43.13229,-77.50027
ALLEN CEMETERY,42.10089,-79.16727
ALLEN FALLS,44.65589,-74.84992
ALLEN FALLS RESERVOIR,44.63645,-74.84325
ALLEN GLEN,42.12007,-76.25715
ALLEN HILL,42.63701,-75.94687
ALLEN HOLLOW,42.63119,-73.35511
ALLEN CREEK SCHOOL,43.1259,-77.52583
